#t/s	R/Ohm	I/mA	U/V
0	22.2	133.9	14.14
300	25.2	136.0	14.24
600	27.6	146.1	15.32
900	30.0	160.0	16.79
1200	33.1	166.4	17.48
1500	36.2	175.7	18.49	
1800	39.2	180.3	18.98
2100	44.9	180.8	18.98
2400	48.8	180.0	18.98
2700	52.7	180.3	18.98
3000	56.3	180.4	18.98
3300	59.8	180.5	18.98
3600	63.3	180.6	18.98
3900	66.6	180.7	18.98
4260	70.4	180.8	18.98	
4620	73.3	180.9	18.98
4980	77.8	181.0	18.98
5340	81.0	181.0	18.98
5760	85.6	181.1	18.98
6120	89.0	181.1	18.98
6480	92.5	181.2	18.98
6840	96.1	181.2	18.98
7200	99.7	181.3	18.98
7560	102.5	181.3	18.98
7980	106.6	181.3	18.98	
8400	110.2	181.3	18.98
